,stream,stream_temp,exp_temp,mass,resp,Exp_Temp_K,log_resp,mass_g,x1,x2,log_mass_resp,lnmass,mass_resp
31,11,5.6,25,16.98670639,0.349785623,298.15,-1.0504348178712202,0.01698670639,1.0043460659374541,38.92175787529614,-3.1747581136916065,2.832431061093849,0.041804214729233534
32,11,5.6,25,17.64882362,0.563196,298.15,-0.5741275764362529,0.01764882362,1.0043460659374541,38.92175787529614,-2.727129424486107,2.8706691307331385,0.0654067755315032
33,11,5.6,25,34.41653866,0.936476,298.15,-0.06563138476220454,0.03441653866,1.0043460659374541,38.92175787529614,-2.719534302645266,3.5385372238440818,0.0659054392696537
34,11,5.6,30,5.169675378,0.57067086,303.15,-0.5609426628447156,0.005169675378,1.6463014984839848,38.279802442749606,-1.7930500855901146,1.6428098969938654,0.16645170268750972
35,11,5.6,30,6.403941512,0.551769737,303.15,-0.5946244628493764,0.006403941512,1.6463014984839848,38.279802442749606,-1.9873097093875611,1.856913662050913,0.13706367098702188
36,11,5.6,30,6.47539566,0.48895589,303.15,-0.715482998074913,0.00647539566,1.6463014984839848,38.279802442749606,-2.1164902817075815,1.8680097115102245,0.12045364586151378
37,11,5.6,30,6.72939368,0.7849322040000001,303.15,-0.2421579292605523,0.00672939368,1.6463014984839848,38.279802442749606,-1.6720217148655145,1.906485047473283,0.187866868202659
38,11,5.6,30,8.855317524,0.557989792,303.15,-0.5834146106749717,0.008855317524,1.6463014984839848,38.279802442749606,-2.2191782072383273,2.1810181287511403,0.10869839968870966
39,11,5.6,30,11.2048731,0.36976668799999995,303.15,-0.9948830452115933,0.0112048731,1.6463014984839848,38.279802442749606,-2.8071446316272586,2.416348781887554,0.06037714548681693
40,11,5.6,30,11.2048731,0.47571068,303.15,-0.7429454246712656,0.0112048731,1.6463014984839848,38.279802442749606,-2.555207011086931,2.416348781887554,0.0776761505784767
41,11,5.6,30,11.35692007,0.926097871,303.15,-0.07677535769636533,0.01135692007,1.6463014984839848,38.279802442749606,-1.8991457996473002,2.4298272559345797,0.14969643537245614
